#pathogen_cv=ncbi_taxonomy,gemina_curation									
#curation_cv=gemina _curation									
#source_cv=ncbi_taxonomy,ENVO,gemina_curation,gemina_anatomy									
#disease_cv=DOID,gemina_curation									
#portal_cv=gemina_anatomy,gemina_curation									
#infection_atts_cv=gemina_curation,symptoms,infection_attribute									
#transmission_atts_cv=transmission_attribute									
#trans_type_cv=gemina_curation,transmission_process									
#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments
122	Influenza A virus (A/Athens/7/1998(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
123	Influenza A virus (A/Athens/8/1997(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
124	Influenza A virus (A/Athens/94/1998(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
125	Influenza A virus (A/Atlanta/211/1989(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
126	Influenza A virus (A/Auckland/108/96(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
127	Influenza A virus (A/Auckland/10/97(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
128	Influenza A virus (A/Auckland/176/99(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
129	Influenza A virus (A/Auckland/5/96(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
130	Influenza A virus (A/Auckland/5/97(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
131	Influenza A virus (A/Auckland/9/96(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
132	Influenza A virus (A/Australian shelduck/Western Australia/1756/1983(H15N2))	Tadorna tadornoides	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
133	Influenza A virus (A/avian/China/417-428/98(H9N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
134	Influenza A virus (A/avian/Ireland/PV46B/93(H9N3))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
135	Influenza A virus (A/avian/NY/118353-1/2001(H7N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
136	Influenza A virus (A/avian/NY/17150-7/2000(H6N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
137	Influenza A virus (A/Avian/NY/31588-2/2000(H5N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
138	Influenza A virus (A/Avian/NY/31588-3/2000(H5N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
139	Influenza A virus (A/Avian/NY/53726/2000(H5N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
140	Influenza A virus (A/avian/NY/70411-12/00(H7N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
141	Influenza A virus (A/avian/NY/73063-6/00(H7N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
142	Influenza A virus (A/avian/NY/74211-2/00(H7N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
143	Influenza A virus (A/avian/NY/76247-3/00(H7N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
144	Influenza A virus (A/avian/NY/7729-6/00(H7N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
145	Influenza A virus (A/avian/NY/81746-5/00(H7N2))	Aves	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
146	Influenza A virus (A/babbler/Fujian/320/04(H5N1))	Sylviidae	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
147	Influenza A virus (A/Baikal teal/Hongze/16/2005)	Anas formosa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
